player_name,nba_team,importance
Cooper Flagg,Dallas Mavericks,10
Nikola Jokic,Denver Nuggets,10
Cade Cunningham,Detroit Pistons,10
Stephen Curry,Golden State Warriors,10
Kevin Durant,Houston Rockets,10
Tyrese Haliburton,Indiana Pacers,10
Kawhi Leonard,LA Clippers,10
Luka Doncic,Los Angeles Lakers,10
Giannis Antetokounmpo,Milwaukee Bucks,10
Anthony Edwards,Minnesota Timberwolves,10
Jalen Brunson,New York Knicks,10
Shai Gilgeous-Alexander,Oklahoma City Thunder,10
Tyrese Maxey,Philadelphia 76ers,10
Devin Booker,Phoenix Suns,10
Victor Wembanyama,San Antonio Spurs,10
Jalen Johnson,Atlanta Hawks,9
Jaylen Brown,Boston Celtics,9
Jayson Tatum,Boston Celtics,9
Michael Porter Jr.,Brooklyn Nets,9
LaMelo Ball,Charlotte Hornets,9
Donovan Mitchell,Cleveland Cavaliers,9
James Harden,Cleveland Cavaliers,9
Jamal Murray,Denver Nuggets,9
Jalen Duren,Detroit Pistons,9
Alperen Sengun,Houston Rockets,9
Pascal Siakam,Indiana Pacers,9
Austin Reaves,Los Angeles Lakers,9
Bam Adebayo,Miami Heat,9
Tyler Herro,Miami Heat,9
Karl-Anthony Towns,New York Knicks,9
Chet Holmgren,Oklahoma City Thunder,9
Paolo Banchero,Orlando Magic,9
Joel Embiid,Philadelphia 76ers,9
Deni Avdija,Portland Trail Blazers,9
Domantas Sabonis,Sacramento Kings,9
Scottie Barnes,Toronto Raptors,9
Lauri Markkanen,Utah Jazz,9
Anthony Davis,Washington Wizards,9
Kon Knueppel,Charlotte Hornets,8
Josh Giddey,Chicago Bulls,8
Evan Mobley,Cleveland Cavaliers,8
Kyrie Irving,Dallas Mavericks,8
Jimmy Butler III,Golden State Warriors,8
Fred VanVleet,Houston Rockets,8
Andrew Nembhard,Indiana Pacers,8
Ivica Zubac,Indiana Pacers,8
Darius Garland,LA Clippers,8
Ja Morant,Memphis Grizzlies,8
Norman Powell,Miami Heat,8
Julius Randle,Minnesota Timberwolves,8
Trey Murphy III,New Orleans Pelicans,8
Zion Williamson,New Orleans Pelicans,8
Desmond Bane,Orlando Magic,8
Franz Wagner,Orlando Magic,8
Paul George,Philadelphia 76ers,8
Damian Lillard,Portland Trail Blazers,8
Donovan Clingan,Portland Trail Blazers,8
DeMar DeRozan,Sacramento Kings,8
De'Aaron Fox,San Antonio Spurs,8
Brandon Ingram,Toronto Raptors,8
Jaren Jackson Jr.,Utah Jazz,8
Keyonte George,Utah Jazz,8
Walker Kessler,Utah Jazz,8
Alex Sarr,Washington Wizards,8
Trae Young,Washington Wizards,8
Dyson Daniels,Atlanta Hawks,7
Onyeka Okongwu,Atlanta Hawks,7
Derrick White,Boston Celtics,7
Brandon Miller,Charlotte Hornets,7
Miles Bridges,Charlotte Hornets,7
Matas Buzelis,Chicago Bulls,7
Jarrett Allen,Cleveland Cavaliers,7
Aaron Gordon,Denver Nuggets,7
Kristaps Porzingis,Golden State Warriors,7
Amen Thompson,Houston Rockets,7
Jabari Smith Jr.,Houston Rockets,7
LeBron James,Los Angeles Lakers,7
Andrew Wiggins,Miami Heat,7
Kevin Porter Jr.,Milwaukee Bucks,7
Ryan Rollins,Milwaukee Bucks,7
Dejounte Murray,New Orleans Pelicans,7
Josh Hart,New York Knicks,7
Mikal Bridges,New York Knicks,7
Isaiah Hartenstein,Oklahoma City Thunder,7
Jalen Williams,Oklahoma City Thunder,7
Jalen Suggs,Orlando Magic,7
VJ Edgecombe,Philadelphia 76ers,7
Dillon Brooks,Phoenix Suns,7
Jalen Green,Phoenix Suns,7
Jrue Holiday,Portland Trail Blazers,7
Maxime Raynaud,Sacramento Kings,7
